ranking,palabra,frecuencia_absoluta,frecuencia_normalizada
581,salir,22447,147.13
582,comunicación,22434,147.05
583,b,22407,146.87
584,experiencia,22402,146.84
585,demasiado,22378,146.68
586,plan,22279,146.03
587,respuesta,22259,145.9
588,energía,22241,145.78
589,izquierda,22232,145.72
590,función,22148,145.17
591,principal,22074,144.69
592,superior,22014,144.29
593,naturaleza,22002,144.22
594,podemos,21958,143.93
595,unión,21933,143.76
596,especialmente,21931,143.75
597,rey,21907,143.59
598,domingo,21823,143.04
599,favor,21818,143.01
600,cantidad,21812,142.97
601,elecciones,21781,142.77
602,clase,21733,142.45
603,productos,21731,142.44
604,españoles,21693,142.19
605,conocer,21681,142.11
606,teatro,21663,141.99
607,importantes,21597,141.56
608,evitar,21587,141.5
609,color,21575,141.42
610,actividades,21564,141.34
611,mesa,21558,141.3
612,p,21518,141.04
613,decía,21458,140.65
614,cuyo,21444,140.56
615,debido,21378,140.13
616,alta,21377,140.12
617,francisco,21361,140.01
618,secretario,21351,139.95
619,objeto,21336,139.85
620,quizá,21323,139.76
621,posición,21168,138.75
622,parecía,21152,138.64
623,natural,21146,138.6
624,elementos,21133,138.52
625,hubo,21112,138.38
626,objetivo,21097,138.28
627,formas,21083,138.19
628,única,21076,138.15
629,pueda,21061,138.05
630,origen,21055,138.01
631,blanco,21035,137.88
632,mismos,21006,137.69
633,lleva,20947,137.3
634,económico,20927,137.17
635,opinión,20927,137.17
636,ayuda,20918,137.11
637,oficial,20905,137.02
638,silencio,20896,136.97
639,buenos,20881,136.87
640,pensar,20880,136.86
641,república,20854,136.69
642,dónde,20846,136.64
643,sangre,20798,136.32
644,encuentro,20719,135.81
645,siquiera,20708,135.73
646,autor,20676,135.52
647,reunión,20609,135.08
648,haciendo,20582,134.91
649,suelo,20565,134.8
650,muestra,20563,134.78
651,viejo,20558,134.75
652,encima,20522,134.51
653,resulta,20497,134.35
654,tomar,20492,134.32
655,bastante,20488,134.29
656,siete,20483,134.26
657,lucha,20434,133.94
658,pudo,20404,133.74
659,amigos,20369,133.51
660,línea,20338,133.31
661,sur,20334,133.28
662,pocos,20289,132.99
663,medidas,20225,132.57
664,norte,20173,132.23
665,partes,20137,131.99
666,iglesia,20101,131.75
667,tratamiento,20030,131.29
668,existencia,19997,131.07
669,cargo,19935,130.67
670,grande,19882,130.32
671,américa,19874,130.27
672,boca,19829,129.97
